input_text,target_text,style
It's driven me crazy .,It hath made me mad .,shakespeare
I hereby declare we will have no more marriage .,"I say , we will have no more marriages .",shakespeare
"Whoever is already married ( except one person I know ) will stay married , all but one person .","Those that are married already , all but one , shall live .",shakespeare
Everyone else will have to stay single .,The rest shall keep as they are .,shakespeare
"Get yourself to a convent , fast .","To a nunnery , go .",shakespeare
Love ?,Love ?,shakespeare
His feelings don't move in that direction .,His affections do not that way tend .,shakespeare
"With any luck , the sea and new countries will push out these thoughts that have somehow taken root in his mind .","Haply the seas and countries different With variable objects shall expel This something-settled matter in his heart , Whereon his brains still beating puts him thus From fashion of himself .",shakespeare
What do you think of this plan ?,What think you on 't ?,shakespeare
It should work .,It shall do well .,shakespeare
"But I still believe that his madness was caused by unrequited love. , Hello , Ophelia .","But yet do I believe The origin and commencement of his grief Sprung from neglected love. , How now , Ophelia ?",shakespeare
You don't have to tell us what Lord Hamlet said .,You need not tell us what Lord Hamlet said .,shakespeare
I'll hide and listen in .,"Let her be round with him , And I'll be placed , so please you , in the ear Of all their conference .",shakespeare
"If she can't find out what his secret is , then send him off to England or wherever you think best .","If she find him not , To England send him or confine him where Your wisdom best shall think .",shakespeare
"That's how we'll do it , then .",It shall be so .,shakespeare
"If there's any good deed I can do that will bring you peace and me honor , speak to me .","If there be any good thing to be done That may to thee do ease and grace to me , Speak to me .",shakespeare
"Or if you've got some buried treasure somewhere , which they say often makes ghosts restless , then tell us about it .","Or if thou hast uphoarded in thy life Extorted treasure in the womb of earth , For which , they say , you spirits oft walk in death , Speak of it .",shakespeare
Stay and speak !,Stay and speak !,shakespeare
"Keep it from leaving , Marcellus .","Stop it , Marcellus .",shakespeare
Should I strike it with my spear ?,Shall I strike at it with my partisan ?,shakespeare
"Yes , if it doesn't stand still .","Do , if it will not stand .",shakespeare
It's over here .,Tis here .,shakespeare
There it is .,Tis here .,shakespeare
It's gone .,Tis gone .,shakespeare
It was about to say something when the rooster crowed .,It was about to speak when the cock crew .,shakespeare
"Perform the speech just as I taught you , musically and smoothly .","Speak the speech , I pray you , as I pronounced it to you , trippingly on the tongue .",shakespeare
"I hate it when I hear a blustery actor in a wig tear a passion to shreds , bursting everyone's eardrums so as to impress the audience on the lower levels of the playhouse , who for the most part can only appreciate loud noises and pantomime shows .","Oh , it offends me to the soul to hear a robustious periwig-pated fellow tear a passion to tatters , to very rags , to split the ears of the groundlings , who for the most part are capable of nothing but inexplicable dumb-shows and noise .",shakespeare
I would whip a guy for making a tyrant sound too tyrannical .,I would have such a fellow whipped for o'erdoing Termagant .,shakespeare
Please avoid doing that .,"Pray you , avoid it .",shakespeare
"I will , sir .",I warrant your honor .,shakespeare
"But don't be too tame , either , let your good sense guide you .","Be not too tame neither , but let your own discretion be your tutor .",shakespeare
"I hope we've corrected that fault pretty well in our company , sir .","I hope we have reformed that indifferently with us , sir .",shakespeare
"Oh , correct it completely .","O , reform it altogether !",shakespeare
"Make sure that the clowns do not ad-lib , since some of them will make certain dumb audience members laugh mindlessly at them , while an important issue in the play needs to be addressed .","And let those that play your clowns speak no more than is set down for them , for there be of them that will themselves laugh to set on some quantity of barren spectators to laugh too , though in the meantime some necessary question of the play be then to be considered .",shakespeare
"Yes , he will , and the queen as well .","And the queen too , and that presently .",shakespeare
Tell the actors to hurry .,Bid the players make haste .,shakespeare
Will you two help them get ready ?,Will you two help to hasten them ?,shakespeare
"Yes , my lord .","Ay , my lord .",shakespeare
"Well , hello there , Horatio !","What ho , Horatio !",shakespeare
"Here I am at your service , my dear lord .","Here , sweet lord , at your service .",shakespeare
"Horatio , you're the best man I've ever known .","Horatio , thou art e'en as just a man As e'er my conversation coped withal .",shakespeare
"Oh , sir , Don't think I'm flattering you .","O my dear lord , Nay , do not think I flatter .",shakespeare
"What could I hope to get from you , who've got nothing but your charm to support you in life ?","For what advancement may I hope from thee That no revenue hast but thy good spirits , To feed and clothe thee ?",shakespeare
Why would anyone flatter a poor person ?,Why should the poor be flattered ?,shakespeare
"No , keep flattery for kissing the hands of those who can pay well .","No , let the candied tongue lick absurd pomp , And crook the pregnant hinges of the knee Where thrift may follow fawning .",shakespeare
You understand ?,Dost thou hear ?,shakespeare
"Ever since I've been a free agent in my choice of friends , I've chosen you because you take everything life hands you with calm acceptance , grateful for both good and bad .","Since my dear soul was mistress of her choice And could of men distinguish , her election Hath sealed thee for herself , for thou hast been , As one in suffering all that suffers nothing , A man that Fortune's buffets and rewards Hast ta'en with equal thanks .",shakespeare
Watch him closely .,Give him heedful note .,shakespeare
They're coming .,They are coming to the play .,shakespeare
I can't talk now .,I must be idle .,shakespeare
Take your seat .,Get you a place .,shakespeare
So how's my nephew Hamlet doing ?,How fares our cousin Hamlet ?,shakespeare
Wonderful !,"Excellent , i ' faith , of the chameleon's dish .",shakespeare
"I eat the air , like chameleons do .","I eat the air , promise-crammed .",shakespeare
"I'm positively stuffed with air , I eat so much of it .",You can not feed capons so .,shakespeare
"I have no idea what you're talking about , Hamlet .","I have nothing with this answer , Hamlet .",shakespeare
You're not answering my question .,These words are not mine .,shakespeare
"Mine , neither .","No , nor mine now .",shakespeare
"Indeed I did , my lord .","That did I , my lord , and was accounted a good actor .",shakespeare
What role did you play ?,What did you enact ?,shakespeare
I played Julius Caesar .,I did enact Julius Caesar .,shakespeare
I was killed in the Capitol .,I was killed i ' th ' Capitol .,shakespeare
Brutus killed me .,Brutus killed me .,shakespeare
"Yes , my lord .","Ay , my lord .",shakespeare
They're ready whenever you are .,They stay upon your patience .,shakespeare
"No thanks , my good mother .","No , good mother .",shakespeare
There's a nicer piece of work right here .,Here's metal more attractive .,shakespeare
"My lady , should I lie in your lap ?","Lady , shall I lie in your lap ?",shakespeare
"No , my lord .","No , my lord .",shakespeare
"I mean , with my head in your lap ?","I mean , my head upon your lap ?",shakespeare
"Yes , my lord .","Ay , my lord .",shakespeare
Did you think I was talking about sex ?,Do you think I meant country matters ?,shakespeare
"What is , my lord ?","What is , my lord ?",shakespeare
Nothing .,Nothing .,shakespeare
"You're in a good mood tonight , my lord .","You are merry , my lord .",shakespeare
"Who , me ?","Who , I ?",shakespeare
"Yes , my lord .","Ay , my lord .",shakespeare
"Oh God , who is , by the way , the best comic of them all .","O God , your only jig-maker .",shakespeare
What can you do but be happy ?,What should a man do but be merry ?,shakespeare
"Look how cheerful my mother is , only two hours after my father died .","For , look you , how cheerfully my mother looks , and my father died within these two hours .",shakespeare
"No , my lord , it's been four months .","Nay , 'tis twice two months , my lord .",shakespeare
As long as that ?,So long ?,shakespeare
I'll get myself a fur-trimmed suit .,"Nay then , let the devil wear black , for I'll have a suit of sables .",shakespeare
"In that case , there's reason to hope a man's memory may outlive him by six months .",Then there's hope a great man's memory may outlive his life half a year .,shakespeare
"But he's got to build churches for that to happen , my lady , or else he'll have to put up with being forgotten , like the hobby-horse in the popular song that goes , ""Heigh-ho , heigh-ho , the hobby-horse is forgotten."" What does this mean , my lord ?","But , by 'r Lady , he must build churches then , or else shall he suffer not thinking on , with the hobby-horse , whose epitaph is ""For , oh , for , oh , the hobby-horse is forgot."" What means this , my lord ?",shakespeare
This means we're having some mischievous fun .,"Marry , this is miching",shakespeare
This pantomime was probably a summary of the play .,Belike this show imports the argument of the play .,shakespeare
This guy will tell us everything .,We shall know by this fellow .,shakespeare
Actors can't keep a secret .,The players can not keep counsel .,shakespeare
They'll tell all .,They'll tell all .,shakespeare
Will he tell us what that pantomime meant ?,Will he tell us what this show meant ?,shakespeare
"Sure , or anything else you show him .","Ay , or any show that you will show him .",shakespeare
"As long as you aren't ashamed to show it , he won't be ashamed to tell you what it means .","Be not you ashamed to show , he'll not shame to tell you what it means .",shakespeare
You're naughty .,"You are naught , you are naught .",shakespeare
I'm watching the play .,I'll mark the play .,shakespeare
Was that the prologue or the inscription on some wedding ring ?,Is this a prologue or the posy of a ring ?,shakespeare
"It was a bit short , my lord .","Tis brief , my lord .",shakespeare
"Yes , as short as a woman's love .",As woman's love .,shakespeare
"Madam , how are you liking this play ?","Madam , how like you this play ?",shakespeare
"The lady's overdoing it , I think .","The lady protests too much , methinks .",shakespeare
"Oh , but she'll keep her word .","Oh , but she'll keep her word .",shakespeare
Is there anything offensive in it ?,Is there no offense in 't ?,shakespeare
Not offensive at all .,No offense i ' th ' world .,shakespeare
What's the play called ?,What do you call the play ?,shakespeare
"Yes , it faded away when the rooster crowed .",It faded on the crowing of the cock .,shakespeare
"Don't you agree that we owe it to him to tell him about this , out of duty and love ?","Do you consent we shall acquaint him with it , As needful in our loves , fitting our duty ?",shakespeare
I could even supply the dialogue between you and your lover if you did your little puppet show of love for me .,"I could interpret between you and your love , if I could see the puppets dallying .",shakespeare
We're all waiting for the revenge !,"Come , ""The croaking raven doth bellow for revenge , """,shakespeare
The original story was written in the finest Italian .,"The story is extant , and writ in choice Italian .",shakespeare
You'll see shortly how the murderer wins the love of Gonzago's wife .,You shall see anon how the murderer gets the love of Gonzago's wife .,shakespeare
The king is getting up .,The king rises .,shakespeare
"What , is he scared of a gun that only fired a blank ?","What , frighted with false fire ?",shakespeare
"My lord , how are you feeling ?",How fares my lord ?,shakespeare
Get me out of here !,"Give me some light , away !",shakespeare
"Lights , lights , get us some lights !","Lights , lights , lights !",shakespeare
"No , a whole share for me .","A whole one , I .",shakespeare
Did you notice ?,Didst perceive ?,shakespeare
"Yes , I did , my lord .","Very well , my lord .",shakespeare
When the actors were talking about poison ?,Upon the talk of the poisoning ?,shakespeare
I watched him very closely .,I did very well note him .,shakespeare
Ah ha !,Ah ha !,shakespeare
"Hey , let's have some music here !","Come , some music !",shakespeare
Play your flutes !,"Come , the recorders !",shakespeare
"Come on , music !","Come , some music !",shakespeare
"My lord , could I have a word with you ?","Good my lord , vouchsafe me a word with you .",shakespeare
"You can have a whole story , not just a word .","Sir , a whole history .",shakespeare
"Sir , the king , Yes , what about him ?","The king , sir , Ay , sir , what of him ?",shakespeare
"He's in his chambers now , and he's extremely upset .",Is in his retirement marvelous distempered .,shakespeare
"I'll be good , sir .","I am tame , sir .",shakespeare
Go ahead .,Pronounce .,shakespeare
"The queen your mother is upset , and sent me to see you .","The queen your mother , in most great affliction of spirit , hath sent me to you .",shakespeare
It's lovely to see you .,You are welcome .,shakespeare
"No , my lord , your polite words are not to the point .","Nay , good my lord , this courtesy is not of the right breed .",shakespeare
"If you could please stop fooling around , I'll tell you what your mother wants .","If it shall please you to make me a wholesome answer , I will do your mother's commandment .",shakespeare
"If not , I'll leave you alone and that'll be the end of my business .","If not , your pardon and my return shall be the end of my business .",shakespeare
"Sir , I can't .","Sir , I can not .",shakespeare
"Can't what , my lord ?","What , my lord ?",shakespeare
Stop fooling around .,Make you a wholesome answer .,shakespeare
My mind is confused .,My wit's diseased .,shakespeare
"Okay , to the point .",Therefore no more but to the matter .,shakespeare
"Oh , what a wonderful son , I can impress my mother !",O wonderful son that can so 'stonish a mother !,shakespeare
But what's the upshot of her admiration ?,But is there no sequel at the heels of this mother's admiration ?,shakespeare
Do tell .,Impart .,shakespeare
She wants to have a word with you in her bedroom before you go to bed .,She desires to speak with you in her closet ere you go to bed .,shakespeare
I'd obey even if she were my mother ten times over .,"We shall obey , were she ten times our mother .",shakespeare
Is there anything else I can do for you ?,Have you any further trade with us ?,shakespeare
"My lord , you used to like me .","My lord , you once did love me .",shakespeare
"And still do , I swear by my hands .","And do still , by these pickers and stealers .",shakespeare
"My lord , what's wrong with you ?","Good my lord , what is your cause of distemper ?",shakespeare
"Sir , I have no future ahead of me .","Sir , I lack advancement .",shakespeare
"But how can you say that , when the king himself says you're the heir to the Danish throne ?","How can that be , when you have the voice of the king himself for your succession in Denmark ?",shakespeare
I don't really understand what you mean .,I do not well understand that .,shakespeare
Will you play this recorder ?,Will you play upon this pipe ?,shakespeare
"I can't , my lord .","My lord , I can not .",shakespeare
Please .,I pray you .,shakespeare
"I'm serious , I can't .","Believe me , I can not .",shakespeare
I'm begging you .,I do beseech you .,shakespeare
I have no idea how .,"I know no touch of it , my lord .",shakespeare
"Oh , it's as easy as lying .",It is as easy as lying .,shakespeare
But I can't play a melody .,But these can not I command to any utterance of harmony .,shakespeare
I don't know how .,You would seem to know my stops .,shakespeare
"My God , do you think I'm easier to manipulate than a pipe ?","Sblood , do you think I am easier to be played on than a pipe ?",shakespeare
"You can push my buttons , but you can't play me for a fool .","Call me what instrument you will , though you can fret me , yet you can not play upon me .",shakespeare
"Hello and God bless you , sir .","God bless you , sir .",shakespeare
"My lord , the queen wants to speak with you right away .","My lord , the queen would speak with you , and presently .",shakespeare
Do you see that cloud up there that looks like a camel ?,Do you see yonder cloud that's almost in shape of a camel ?,shakespeare
"By God , it does look like a camel .","By th ' mass , and 'tis like a camel indeed .",shakespeare
To me it looks like a weasel .,Methinks it is like a weasel .,shakespeare
It does have a back like a weasel's .,It is backed like a weasel .,shakespeare
Or like a whale .,Or like a whale .,shakespeare
"Yes , very much like a whale .",Very like a whale .,shakespeare
I'll go see my mother soon .,Then I will come to my mother by and by .,shakespeare
I'll tell her .,I will say so .,shakespeare
"This is the time of night when witches come out , when graveyards yawn open and the stench of hell seeps out .","Tis now the very witching time of night , When churchyards yawn and hell itself breathes out Contagion to this world .",shakespeare
I could drink hot blood and do such terrible deeds that people would tremble even in the daylight .,Now could I drink hot blood And do such bitter business as the bitter day Would quake to look on .,shakespeare
"I'll speak as sharp as a dagger to her , but I won't use one on her .",I will speak daggers to her but use none .,shakespeare
"And so , my words and thoughts will be at odds .",My tongue and soul in this be hypocrites .,shakespeare
"I don't like the way he's acting , and it's not safe for me to let his insanity get out of control .","I like him not , nor stands it safe with us To let his madness range .",shakespeare
So get prepared .,Therefore prepare you .,shakespeare
"I'm sending you to England on diplomatic business , and Hamlet will go with you .","I your commission will forthwith dispatch , And he to England shall along with you .",shakespeare
"As king , I can not risk the danger he represents as he grows crazier by the hour .",The terms of our estate may not endure Hazard so dangerous as doth hourly grow Out of his lunacies .,shakespeare
We'll take care of it .,We will ourselves provide .,shakespeare
"When a great leader dies he doesn't die alone but , like a whirlpool , draws others with him .","The cease of majesty Dies not alone , but , like a gulf , doth draw What's near it with it .",shakespeare
"He's like a huge wheel on the top of the highest mountain whose spokes touch the rim of ten thousand smaller things , when it falls down the mountain , every little object goes down with it .","It is a massy wheel Fixed on the summit of the highest mount , To whose huge spokes ten thousand lesser things Are mortised and adjoined , which , when it falls , Each small annexment , petty consequence , Attends the boisterous ruin .",shakespeare
"Whenever a king sighs , everyone groans .","Never alone Did the king sigh , but with a general groan .",shakespeare
"Prepare yourself , please , for this trip .","Arm you , I pray you , to this speedy voyage .",shakespeare
We'll put a leash on this danger that's now running wild .,"For we will fetters put upon this fear , Which now goes too free-footed .",shakespeare
We'll hurry .,We will haste us .,shakespeare
"My lord , Hamlet's going to his mother's room .","My lord , he's going to his mother's closet .",shakespeare
I'll hide behind the tapestry to hear what they say .,Behind the arras I'll convey myself To hear the process .,shakespeare
I bet she'll chew him out .,I'll warrant she'll tax him home .,shakespeare
"And as you said ( and you said it wisely ) , it's good to have someone other than a mother listening in on them , since she can be too partial to him .","And , as you said ( and wisely was it said ) 'T is meet that some more audience than a mother , Since nature makes them partial , should o'erhear The speech , of vantage .",shakespeare
"Goodbye , my lord .","Fare you well , my liege .",shakespeare
"I'll stop by before you go to bed , and tell you what I've heard .",I'll call upon you ere you go to bed And tell you what I know .,shakespeare
"Thanks , my dear lord .","Thanks , dear my lord .",shakespeare
It has the mark of,"It hath the primal eldest curse upon 't , A brother's murder .",shakespeare
So much for Fortinbras .,So much for him .,shakespeare
"That won't work , since I'm still reaping the rewards of that murder : my crown and my queen .","That can not be , since I am still possessed Of those effects for which I did the murder : My crown , mine own ambition , and my queen .",shakespeare
Can a person be forgiven and still keep the fruits of his crime ?,May one be pardoned and retain th ' offense ?,shakespeare
"In this wicked world , criminals often take the money they stole and use it to buy off the law , shoving justice aside .","In the corrupted currents of this world Offense's gilded hand may shove by justice , And oft 'tis seen the wicked prize itself Buys out the law .",shakespeare
But not in heaven .,But 'tis not so above .,shakespeare
What is there left to do ?,What can it not ?,shakespeare
But it can't help either !,Yet what can it when one can not repent ?,shakespeare
My heart's as black as death .,O bosom black as death !,shakespeare
"My soul is stuck to sin , and the more it struggles to break free , the more it sticks .","O limed soul that , struggling to be free , Art more engaged !",shakespeare
"Help me , angels !","Help , angels .",shakespeare
"C'mon , make an effort .",Make assay .,shakespeare
I could do it easily now .,Now might I do it pat .,shakespeare
He's praying now .,Now he is a-praying .,shakespeare
And now I'll do it .,And now I'll do 't .,shakespeare
He'll come right away .,And so he goes to heaven .,shakespeare
"I'll be right here , silent .","And so am I revenged. , That would be scanned .",shakespeare
Have you forgotten who I am ?,And am I then revenged,shakespeare
"No , sit down .",No .,shakespeare
What are you going to do ?,Words without thoughts never to heaven go .,shakespeare
"You won't kill me , will you ?",He will come straight .,shakespeare
Repent and avoid damnation .,Conceit in weakest bodies strongest works .,shakespeare
Good night to you .,"Speak to her , Hamlet .",shakespeare
Who would do that ?,To whom do you speak this ?,shakespeare
"What is it , Laertes ?",Avoid what is to come .,shakespeare
"What would you like , Laertes ?","O Hamlet , thou hast cleft my heart in twain .",shakespeare
"Please , let me go .","Good night , but go not to mine uncle's bed .",shakespeare
"I have to go to England , don't you know that ?",Assume a virtue if you have it not .,shakespeare
"What , Gertrude ?","So , again , good night .",shakespeare
How is Hamlet ?,I must be cruel only to be kind .,shakespeare
"Oh , this is terrible !",Thus bad begins and worse remains behind .,shakespeare
"His wildness is a threat to all of us , to you , to me , to everyone .","Twere good you let him know , For who that's but a queen , fair , sober , wise , Would from a paddock , from a bat , a gib , Such dear concernings hide ?",shakespeare
"I've gotten it dirty , ashes to ashes , and dust to dust .","Let it work , For 'tis the sport to have the engineer Hoist with his own petard .",shakespeare
Believe what ?,You must translate .,shakespeare
"Besides , you're a sponge !",Tis fit we understand them .,shakespeare
"You think I'm a sponge , my lord ?","Ah , my good lord , what have I seen tonight !",shakespeare
I'm glad about that .,How does Hamlet ?,shakespeare
A thing of no importance .,O heavy deed !,shakespeare
How dangerous to have this madman on the loose !,"Alas , how shall this bloody deed be answered ?",shakespeare
"But a terminal disease requires extreme treatment , or nothing at all .","But , like the owner of a foul disease , To keep it from divulging , let it feed Even on the pith of life .",shakespeare
But where is he ?,Where is he gone ?,shakespeare
Bring him to me .,"Go seek him out , speak fair , and bring the body Into the chapel .",shakespeare
At dinner .,Safely stowed .,shakespeare
What do you mean by that ?,"What have you done , my lord , with the dead body ?",shakespeare
Where is Polonius ?,"Tell us where 'tis , that we may take it thence And bear it to the chapel .",shakespeare
In heaven .,Believe what ?,shakespeare
So get ready to leave .,But such officers do the king best service in the end .,shakespeare
Good .,I am glad of it .,shakespeare
Don't waste any time .,Yet must not we put the strong law on him .,shakespeare
"I'll tell him , my lord .","Without , my lord ; guarded , to know your pleasure .",shakespeare
"Go ahead , then .",Bring him before us .,shakespeare
Is he attacking the heartland of Poland or some frontier ?,"Not where he eats , but where he is eaten .",shakespeare
In the end I grudgingly consented .,That's the end .,shakespeare
"I hereby grant your request , and hope you have a good time .",What dost you mean by this ?,shakespeare
So why does it seem so particular to you ?,Therefore prepare thyself .,shakespeare
So then the Poles won't be willing to defend it .,"The bark is ready and the wind at help , Th ' associates tend , and everything is bent For England .",shakespeare
"Good-bye , sir .","Farewell , dear mother .",shakespeare
Start without me .,"Thy loving father , Hamlet .",shakespeare
My God !,My mother .,shakespeare
"I have the motivation , the willpower , the ability , and the means to do it .","Do it , England , For like the hectic in my blood he rages , And thou must cure me .",shakespeare
I won't speak to her .,"I will do 't , my lord .",shakespeare
She's insistent .,Go softly on .,shakespeare
"In fact , she's crazed .","They are of Norway , sir .",shakespeare
What does she want ?,What says Polonius ?,shakespeare
Show her in .,"Take thy fair hour , Laertes .",shakespeare
Please just listen .,Thou know'st 'tis common .,shakespeare
"Oh , ho !","Ay , madam , it is common .",shakespeare
May God be at your table .,"God be wi ' you , sir .",shakespeare
"Come , driver !",Go a little before .,shakespeare
"Good night , ladies , good night , sweet ladies , good night , good night .",What is a man If his chief good and market of his time Be but to sleep and feed ?,shakespeare
Follow her .,"A beast , no more .",shakespeare
Listen !,I will not speak with her .,shakespeare
What is it ?,What would she have ?,shakespeare
Where's this so-called king ?,Where is the beauteous majesty of Denmark ?,shakespeare
Please wait .,"Nay , but , Ophelia , Pray you , mark .",shakespeare
Thank you .,"How do you , pretty lady ?",shakespeare
"Let him go , Gertrude .",God be at your table .,shakespeare
Where's my father ?,Conceit upon her father .,shakespeare
He's dead .,How long hath she been thus ?,shakespeare
Don't mess with me .,"We must be patient , but I can not choose but weep , to think they should lay him i ' th ' cold ground .",shakespeare
"Only my free will , nothing else .","Oh , this is the poison of deep grief .",shakespeare
"Do you want to know who they are , then ?","Poor Ophelia Divided from herself and her fair judgment , Without the which we are pictures , or mere beasts .",shakespeare
What's that noise ?,"Alack , what noise is this ?",shakespeare
"Please remember , love .","I pray you , give me leave .",shakespeare
It's not manly .,Do not fear our person .,shakespeare
And you're right to do so .,"Conscience and grace , to the profoundest pit !",shakespeare
"Please , come with me .",I dare damnation .,shakespeare
Who are the people who want to speak with me ?,Who shall stay you ?,shakespeare
"Sailors , sir .","My will , not all the world .",shakespeare
They say they have letters for you .,"And for my means , I'll husband them so well , They shall go far with little .",shakespeare
Show them in .,Will you know them then ?,shakespeare
"Hello , sir .",How now ?,shakespeare
God bless you .,What noise is that ?,shakespeare
"May He bless you , too .","Tears seven times salt , Burn out the sense and virtue of mine eye !",shakespeare
"He will , sir , if He wants to .","By heaven , thy madness shall be paid by weight , Till our scale turn the beam .",shakespeare
I have a lot to tell you about them .,You must sing This nothing's more than matter .,shakespeare
Good-bye .,"There's rosemary , that's for remembrance .",shakespeare
It looks that way .,"Nay , it is .",shakespeare
I didn't see them .,"Do you see this , O God ?",shakespeare
"Laertes , I want you to hear what they say .","Laertes , I must commune with your grief , Or you deny me right .",shakespeare
What does this mean ?,Let this be so .,shakespeare
Do you recognize the handwriting ?,So you shall .,shakespeare
"Naked , "" he says .","Seafaring men , sir .",shakespeare
And in a P.S .,Let them come in .,shakespeare
But let him come .,Let him bless thee too .,shakespeare
That'll be fine .,Fare-well .,shakespeare
"All your talents and gifts didn't arouse as much envy from him as this one quality did , though to me it's far from your best attribute .","Now must your conscience my acquaintance seal , And you must put me in your heart for friend , Sith you have heard , and with a knowing ear , That he which hath your noble father slain Pursued my life .",shakespeare
"What quality is that , my lord ?",It well appears .,shakespeare
"Yes , from Normandy .","Letters , my lord , from Hamlet .",shakespeare
"Yes , that's the one .","Sailors , my lord , they say .",shakespeare
I know him well .,I saw them not .,shakespeare
He's his homeland's jewel .,He received them Of him that brought them .,shakespeare
How could you ask ?,"How otherwise ? , Will you be ruled by me ?",shakespeare
"That's the right answer , it shows your love .",He is the brooch indeed And gem of all the nation .,shakespeare
Let's go .,Why ask you this ?,shakespeare
Damn it !,And nothing is at a like goodness still .,shakespeare
"But wait , what's that sound ?","But , good Laertes , Will you do this , keep close within your chamber .",shakespeare
Drowned ?,I will do 't .,shakespeare
So she is drowned .,Therefore this project,shakespeare
"Let's follow him , Gertrude .","Be as ourself in Denmark. , Madam , come .",shakespeare
Let's follow him .,Come away .,shakespeare
"Here's the water , right ?","One woe doth tread upon another's heel , So fast they follow. , Your sister's drowned , Laertes .",shakespeare
Is that how the law sees it ?,"Alas , then she is drowned .",shakespeare
It sure is .,But yet It is our trick .,shakespeare
The coroner's inquest law .,"Let's follow , Gertrude .",shakespeare
Do you want to know the truth ?,How much I had to do to calm his rage !,shakespeare
"Well there , now you've said it .",Now fear I this will give it start again .,shakespeare
"Come on , shovel .",Therefore let's follow .,shakespeare
They keep up Adam's profession .,Is she to be buried in Christian burial when she willfully seeks her own salvation ?,shakespeare
"What , aren't you a Christian ?",The crowner hath sat on her and finds it Christian burial .,shakespeare
I'll ask you another question .,"How can that be , unless she drowned herself in her own defense ?",shakespeare
"If you can't answer it , Go ahead !","It must be Nay , but hear you , Goodman Delver , Give me leave .",shakespeare
But how ?,But is this law ?,shakespeare
"Ah , I've got it !","Ay , marry , is 't .",shakespeare
Go ahead .,Crowner's quest law .,shakespeare
Now go and get me some booze .,"Come , my spade .",shakespeare
"Yes , exactly .","Why , he had none .",shakespeare
"Indeed , my lord .","Marry , now I can tell .",shakespeare
Exactly .,Has this fellow no feeling of his business ?,shakespeare
There's another .,He sings at grave- making .,shakespeare
Could that be a lawyer's skull ?,That skull had a tongue in it and could sing once .,shakespeare
"No more than that , my lord .","It might , my lord .",shakespeare
"Yes , my lord , and calfskin too .","Ay , my lord .",shakespeare
"It's mine , sir .",Mine ache to think on 't .,shakespeare
"For no man , sir .","Not a jot more , my lord .",shakespeare
How literal this guy is !,"I will speak to this fellow. , Whose grave's this , sirrah ?",shakespeare
You don't know that ?,"You lie out on 't , sir , and therefore it is not yours .",shakespeare
He'll recover his sanity there .,"Tis for the dead , not for the quick .",shakespeare
Why not ?,Therefore thou liest .,shakespeare
"What do you mean , ""in a strange way"" ?",What man dost thou dig it for ?,shakespeare
On what grounds ?,"What woman , then ?",shakespeare
How long will a man lie in his grave before he starts to rot ?,"The age is grown so picked that the toe of the peasant comes so near the heel of the courtier he galls his kibe. , How long hast thou been a grave-maker ?",shakespeare
A leathermaker will last nine years .,"Of all the days i ' the year , I came to 't that day that our last King Hamlet overcame Fortinbras .",shakespeare
Whose was it ?,"Ay , marry , why was he sent into England ?",shakespeare
A crazy bastard .,"Why , because he was mad .",shakespeare
Who do you think ?,Why ?,shakespeare
I really don't know .,Twill not be seen in him there .,shakespeare
Damn that crazy madman !,How came he mad ?,shakespeare
This one ?,"How ""strangely"" ?",shakespeare
"Yes , that one .","Faith , e'en with losing his wits .",shakespeare
Are you sad about that ?,Why he more than another ?,shakespeare
"Horatio , tell me something .",Let me see .,shakespeare
"Oh God , do I have to remember that ?","That he might not beteem the winds of heaven Visit her face too roughly. , Heaven and earth , Must I remember ?",shakespeare
"She would hang on to him , and the more she was with him the more she wanted to be with him ; she couldn't get enough of him .","Why , she would hang on him As if increase of appetite had grown By what it fed on , and yet , within a month , Let me not think on 't .",shakespeare
"Less than a month after my father's death , even before the tears on her cheeks had dried , she remarried .","Within a month , Ere yet the salt of most unrighteous tears Had left the flushing in her galled eyes , She married .",shakespeare
"That's not good , and no good can come of it either .","It is not nor it can not come to good , But break , my heart , for I must hold my tongue .",shakespeare
"Hello , sir .",Hail to your lordship .,shakespeare
"Nice to see you again , Horatio , that is your name , right ?","I am glad to see you well. , Horatio ?",shakespeare
"That's me , sir .",Or I do forget myself ?,shakespeare
I'll change that name for you .,"Sir , my good friend , I'll change that name with you .",shakespeare
"Hello , sir .",My good lord .,shakespeare
"What's that , my lord ?","What's that , my lord ?",shakespeare
Do you think Alexander the Great looked like this when he was buried ?,Dost thou think Alexander looked o ' this fashion i ' th ' earth ?,shakespeare
Exactly like that .,E'en so .,shakespeare
"And smelled like that , too ?",And smelt so ?,shakespeare
Whew !,Pah !,shakespeare
"Just as bad , my lord .","E'en so , my lord .",shakespeare
"How low we can fall , Horatio .","To what base uses we may return , Horatio .",shakespeare
Isn't it possible to imagine that the noble ashes of Alexander the Great could end up plugging a hole in a barrel ?,Why may not imagination trace the noble dust of Alexander till he find it stopping a bunghole ?,shakespeare
If you thought that you'd be thinking too much .,"Twere to consider too curiously , to consider so .",shakespeare
"No , not at all .","No , faith , not a jot .",shakespeare
"The great emperor Caesar , dead and turned to clay , might plug up a hole to keep the wind away .","Imperious Caesar , dead and turned to clay , Might stop a hole to keep the wind away .",shakespeare
"Oh , to think that the same body that once ruled the world could now patch up a wall !","Oh , that that earth , which kept the world in awe , Should patch a wall t ' expel the winter's flaw !",shakespeare
